exp_id,exp_desc,algo,params,test_rmse,train_rmse,train_time
6821,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6396896658022965, 'learning_rate': 0.04656661047593643, 'min_child_weight': 195, 'min_split_gain': 0.2667170040629182, 'n_estimators': 300, 'num_leaves': 49, 'reg_alpha': 0.46075620353964175, 'reg_lambda': 0.6298414474678693, 'subsample_for_bin': 260000.0, 'subsample': 0.6689238849927108}",3.6689968204496566,3.4768522890441096,27.97127402299975
1654,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'goss', 'colsample_bytree': 0.5302752517495076, 'learning_rate': 0.08827417976064335, 'min_child_weight': 180, 'min_split_gain': 0.4598893525460765, 'n_estimators': 100, 'num_leaves': 77, 'reg_alpha': 0.9164613990798697, 'reg_lambda': 0.8586457609923297, 'subsample_for_bin': 180000.0, 'subsample': 1.0}",36.145464480661886,32.37496932288249,13.152273433000119
7492,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'dart', 'colsample_bytree': 0.6780591740732328, 'learning_rate': 0.02187312331890875, 'min_child_weight': 125, 'min_split_gain': 0.7696408476434591, 'n_estimators': 500, 'num_leaves': 30, 'reg_alpha': 0.8346273576693449, 'reg_lambda': 0.47322257440607396, 'subsample_for_bin': 280000.0, 'subsample': 0.4950196079940253}",3.679093191725663,3.605409851225853,115.63800562200049
1624,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7488629935687157, 'learning_rate': 0.03321413232764343, 'min_child_weight': 165, 'min_split_gain': 0.38254002492036454, 'n_estimators': 400, 'num_leaves': 136, 'reg_alpha': 0.5398649827461982, 'reg_lambda': 0.9535380557986984, 'subsample_for_bin': 120000.0, 'subsample': 0.7976172711403999}",3.6691113956561026,3.408275190701224,49.60447367500001
3130,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'goss', 'colsample_bytree': 0.4781848947819547, 'learning_rate': 0.07503945681497065, 'min_child_weight': 200, 'min_split_gain': 0.6699411018973962, 'n_estimators': 700, 'num_leaves': 47, 'reg_alpha': 0.4359385169294976, 'reg_lambda': 0.7728569455446507, 'subsample_for_bin': 240000.0, 'subsample': 1.0}",3.7026416326409435,3.6498641322344825,12.137825605000216
8861,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5636081331939011, 'learning_rate': 0.15634281110059697, 'min_child_weight': 100, 'min_split_gain': 0.47765756261933834, 'n_estimators': 300, 'num_leaves': 92, 'reg_alpha': 0.7783884872400886, 'reg_lambda': 0.5033587794152445, 'subsample_for_bin': 200000.0, 'subsample': 0.6096755502130333}",3.6896671141438597,3.526891388180963,14.75327832899984
8138,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5650906632080922, 'learning_rate': 0.03353234209056957, 'min_child_weight': 165, 'min_split_gain': 0.50726416526671, 'n_estimators': 500, 'num_leaves': 65, 'reg_alpha': 0.7146017036532004, 'reg_lambda': 0.8713315757156619, 'subsample_for_bin': 220000.0, 'subsample': 0.862395355482988}",3.6655674253512758,3.421687699585933,42.76546578799935
4573,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5650906632080922, 'learning_rate': 0.03353234209056957, 'min_child_weight': 165, 'min_split_gain': 0.50726416526671, 'n_estimators': 500, 'num_leaves': 65, 'reg_alpha': 0.7146017036532004, 'reg_lambda': 0.8713315757156619, 'subsample_for_bin': 220000.0, 'subsample': 0.862395355482988}",3.6655674253512758,3.421687699585933,45.09588189900023
481,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5650906632080922, 'learning_rate': 0.03353234209056957, 'min_child_weight': 165, 'min_split_gain': 0.50726416526671, 'n_estimators': 500, 'num_leaves': 65, 'reg_alpha': 0.7146017036532004, 'reg_lambda': 0.8713315757156619, 'subsample_for_bin': 220000.0, 'subsample': 0.862395355482988}",3.6655674253512758,3.421687699585933,50.34902336899904
6704,Last version had high train error so expanding search space.,LGBM,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5650906632080922, 'learning_rate': 0.03353234209056957, 'min_child_weight': 165, 'min_split_gain': 0.50726416526671, 'n_estimators': 500, 'num_leaves': 65, 'reg_alpha': 0.7146017036532004, 'reg_lambda': 0.8713315757156619, 'subsample_for_bin': 220000.0, 'subsample': 0.862395355482988}",3.6655674253512758,3.421687699585933,48.941151776998595
